trackName,trackURL,trackAPIURL,trackID,dateAdded,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Let Me In,https://open.spotify.com/track/2MmFt6kAITcjtNSd9dR64Y,https://api.spotify.com/v1/tracks/2MmFt6kAITcjtNSd9dR64Y,2MmFt6kAITcjtNSd9dR64Y,2022-09-01,0.768,0.66,1,-5.989,0,0.0744,0.0584,0.0218,0.886,0.702,123.62,audio_features,2MmFt6kAITcjtNSd9dR64Y,spotify:track:2MmFt6kAITcjtNSd9dR64Y,https://api.spotify.com/v1/tracks/2MmFt6kAITcjtNSd9dR64Y,https://api.spotify.com/v1/audio-analysis/2MmFt6kAITcjtNSd9dR64Y,222295,4
Wahum,https://open.spotify.com/track/5ELor8bKnwO7gdVqwQLsI8,https://api.spotify.com/v1/tracks/5ELor8bKnwO7gdVqwQLsI8,5ELor8bKnwO7gdVqwQLsI8,2022-09-01,0.525,0.623,7,-9.97,0,0.282,0.414,8.7e-05,0.0944,0.436,85.821,audio_features,5ELor8bKnwO7gdVqwQLsI8,spotify:track:5ELor8bKnwO7gdVqwQLsI8,https://api.spotify.com/v1/tracks/5ELor8bKnwO7gdVqwQLsI8,https://api.spotify.com/v1/audio-analysis/5ELor8bKnwO7gdVqwQLsI8,206539,1
Without,https://open.spotify.com/track/0TxQOJfZ8GgotoZWbhqi5Y,https://api.spotify.com/v1/tracks/0TxQOJfZ8GgotoZWbhqi5Y,0TxQOJfZ8GgotoZWbhqi5Y,2022-09-01,0.757,0.677,1,-9.242,0,0.0731,0.391,0.0174,0.0656,0.64,120.012,audio_features,0TxQOJfZ8GgotoZWbhqi5Y,spotify:track:0TxQOJfZ8GgotoZWbhqi5Y,https://api.spotify.com/v1/tracks/0TxQOJfZ8GgotoZWbhqi5Y,https://api.spotify.com/v1/audio-analysis/0TxQOJfZ8GgotoZWbhqi5Y,229155,4
Gold,https://open.spotify.com/track/0UYit2SshaoGD45cp21LEI,https://api.spotify.com/v1/tracks/0UYit2SshaoGD45cp21LEI,0UYit2SshaoGD45cp21LEI,2022-09-01,0.711,0.74,10,-7.776,0,0.036,0.261,0.0114,0.104,0.638,143.047,audio_features,0UYit2SshaoGD45cp21LEI,spotify:track:0UYit2SshaoGD45cp21LEI,https://api.spotify.com/v1/tracks/0UYit2SshaoGD45cp21LEI,https://api.spotify.com/v1/audio-analysis/0UYit2SshaoGD45cp21LEI,231480,4
Rich Spirit,https://open.spotify.com/track/1QPreu0BNOrUfEb8HTd2qG,https://api.spotify.com/v1/tracks/1QPreu0BNOrUfEb8HTd2qG,1QPreu0BNOrUfEb8HTd2qG,2022-09-01,0.852,0.421,10,-9.153,0,0.208,0.428,2.28e-06,0.106,0.457,95.977,audio_features,1QPreu0BNOrUfEb8HTd2qG,spotify:track:1QPreu0BNOrUfEb8HTd2qG,https://api.spotify.com/v1/tracks/1QPreu0BNOrUfEb8HTd2qG,https://api.spotify.com/v1/audio-analysis/1QPreu0BNOrUfEb8HTd2qG,202285,4
Count Me Out,https://open.spotify.com/track/6BU1RZexmvJcBjgagVVt3M,https://api.spotify.com/v1/tracks/6BU1RZexmvJcBjgagVVt3M,6BU1RZexmvJcBjgagVVt3M,2022-09-01,0.776,0.431,4,-7.544,0,0.091,0.671,0.0,0.153,0.495,133.999,audio_features,6BU1RZexmvJcBjgagVVt3M,spotify:track:6BU1RZexmvJcBjgagVVt3M,https://api.spotify.com/v1/tracks/6BU1RZexmvJcBjgagVVt3M,https://api.spotify.com/v1/audio-analysis/6BU1RZexmvJcBjgagVVt3M,283642,4
Stuck.,https://open.spotify.com/track/7JeCUUnOpoz4JoV84fliOc,https://api.spotify.com/v1/tracks/7JeCUUnOpoz4JoV84fliOc,7JeCUUnOpoz4JoV84fliOc,2022-09-01,0.471,0.524,6,-9.066,0,0.0786,0.257,0.0,0.633,0.423,84.118,audio_features,7JeCUUnOpoz4JoV84fliOc,spotify:track:7JeCUUnOpoz4JoV84fliOc,https://api.spotify.com/v1/tracks/7JeCUUnOpoz4JoV84fliOc,https://api.spotify.com/v1/audio-analysis/7JeCUUnOpoz4JoV84fliOc,259495,4
Freefall,https://open.spotify.com/track/2flqiTbuPeDZXxgEW67rxw,https://api.spotify.com/v1/tracks/2flqiTbuPeDZXxgEW67rxw,2flqiTbuPeDZXxgEW67rxw,2022-09-01,0.533,0.671,1,-8.576,0,0.513,0.055,0.000439,0.104,0.309,105.899,audio_features,2flqiTbuPeDZXxgEW67rxw,spotify:track:2flqiTbuPeDZXxgEW67rxw,https://api.spotify.com/v1/tracks/2flqiTbuPeDZXxgEW67rxw,https://api.spotify.com/v1/audio-analysis/2flqiTbuPeDZXxgEW67rxw,181160,4
Groceries,https://open.spotify.com/track/6TkMxzRiOhA3yXCZWnsQHS,https://api.spotify.com/v1/tracks/6TkMxzRiOhA3yXCZWnsQHS,6TkMxzRiOhA3yXCZWnsQHS,2022-09-01,0.781,0.768,8,-5.64,1,0.0376,0.0127,0.00434,0.159,0.469,121.987,audio_features,6TkMxzRiOhA3yXCZWnsQHS,spotify:track:6TkMxzRiOhA3yXCZWnsQHS,https://api.spotify.com/v1/tracks/6TkMxzRiOhA3yXCZWnsQHS,https://api.spotify.com/v1/audio-analysis/6TkMxzRiOhA3yXCZWnsQHS,143607,4
TRY,https://open.spotify.com/track/1htTRt6dZPPeqduos5PAmC,https://api.spotify.com/v1/tracks/1htTRt6dZPPeqduos5PAmC,1htTRt6dZPPeqduos5PAmC,2022-09-01,0.72,0.78,11,-8.7,1,0.0908,0.767,0.531,0.108,0.516,107.957,audio_features,1htTRt6dZPPeqduos5PAmC,spotify:track:1htTRt6dZPPeqduos5PAmC,https://api.spotify.com/v1/tracks/1htTRt6dZPPeqduos5PAmC,https://api.spotify.com/v1/audio-analysis/1htTRt6dZPPeqduos5PAmC,233333,4
All I Need,https://open.spotify.com/track/38sxQtY9uVsPK5eXR39X1w,https://api.spotify.com/v1/tracks/38sxQtY9uVsPK5eXR39X1w,38sxQtY9uVsPK5eXR39X1w,2022-09-01,0.452,0.576,6,-6.595,1,0.0535,0.652,0.109,0.0895,0.645,131.104,audio_features,38sxQtY9uVsPK5eXR39X1w,spotify:track:38sxQtY9uVsPK5eXR39X1w,https://api.spotify.com/v1/tracks/38sxQtY9uVsPK5eXR39X1w,https://api.spotify.com/v1/audio-analysis/38sxQtY9uVsPK5eXR39X1w,188200,5
Nice For What,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw,https://api.spotify.com/v1/tracks/3CA9pLiwRIGtUBiMjbZmRw,3CA9pLiwRIGtUBiMjbZmRw,2022-09-01,0.585,0.909,8,-6.474,1,0.0707,0.0891,9.7e-05,0.119,0.758,93.372,audio_features,3CA9pLiwRIGtUBiMjbZmRw,spotify:track:3CA9pLiwRIGtUBiMjbZmRw,https://api.spotify.com/v1/tracks/3CA9pLiwRIGtUBiMjbZmRw,https://api.spotify.com/v1/audio-analysis/3CA9pLiwRIGtUBiMjbZmRw,210747,4
Love's Comin' At Ya - Remastered,https://open.spotify.com/track/2JXK3ELYkEcGTE4dsO4kYq,https://api.spotify.com/v1/tracks/2JXK3ELYkEcGTE4dsO4kYq,2JXK3ELYkEcGTE4dsO4kYq,2022-09-01,0.911,0.476,1,-10.827,0,0.0927,0.0278,0.000364,0.104,0.62,114.408,audio_features,2JXK3ELYkEcGTE4dsO4kYq,spotify:track:2JXK3ELYkEcGTE4dsO4kYq,https://api.spotify.com/v1/tracks/2JXK3ELYkEcGTE4dsO4kYq,https://api.spotify.com/v1/audio-analysis/2JXK3ELYkEcGTE4dsO4kYq,343520,4
"Smalltown Boy - 12"" Version",https://open.spotify.com/track/3Ovk5FUK5YUnHX5aJXHcqW,https://api.spotify.com/v1/tracks/3Ovk5FUK5YUnHX5aJXHcqW,3Ovk5FUK5YUnHX5aJXHcqW,2022-09-01,0.445,0.506,0,-8.191,0,0.0306,0.309,0.00222,0.454,0.623,135.826,audio_features,3Ovk5FUK5YUnHX5aJXHcqW,spotify:track:3Ovk5FUK5YUnHX5aJXHcqW,https://api.spotify.com/v1/tracks/3Ovk5FUK5YUnHX5aJXHcqW,https://api.spotify.com/v1/audio-analysis/3Ovk5FUK5YUnHX5aJXHcqW,541654,4
Smalltown Boy (Arnaud Rebotini Remix),https://open.spotify.com/track/6JMR0tpqiR5it0gwufdiOZ,https://api.spotify.com/v1/tracks/6JMR0tpqiR5it0gwufdiOZ,6JMR0tpqiR5it0gwufdiOZ,2022-09-01,0.801,0.668,10,-8.405,1,0.0594,0.00509,0.266,0.136,0.802,130.033,audio_features,6JMR0tpqiR5it0gwufdiOZ,spotify:track:6JMR0tpqiR5it0gwufdiOZ,https://api.spotify.com/v1/tracks/6JMR0tpqiR5it0gwufdiOZ,https://api.spotify.com/v1/audio-analysis/6JMR0tpqiR5it0gwufdiOZ,336224,4
Smalltown Boy - Reprise 2014,https://open.spotify.com/track/6Z0csFlyJnQqqwREJeBsXL,https://api.spotify.com/v1/tracks/6Z0csFlyJnQqqwREJeBsXL,6Z0csFlyJnQqqwREJeBsXL,2022-09-01,0.656,0.296,10,-7.95,1,0.0294,0.977,0.0138,0.0902,0.262,112.072,audio_features,6Z0csFlyJnQqqwREJeBsXL,spotify:track:6Z0csFlyJnQqqwREJeBsXL,https://api.spotify.com/v1/tracks/6Z0csFlyJnQqqwREJeBsXL,https://api.spotify.com/v1/audio-analysis/6Z0csFlyJnQqqwREJeBsXL,165117,4
Far From Over,https://open.spotify.com/track/0mbImplrU76kIvd52GlNbt,https://api.spotify.com/v1/tracks/0mbImplrU76kIvd52GlNbt,0mbImplrU76kIvd52GlNbt,2022-09-01,0.528,0.7,0,-13.157,1,0.0346,0.038,0.0019,0.217,0.883,166.499,audio_features,0mbImplrU76kIvd52GlNbt,spotify:track:0mbImplrU76kIvd52GlNbt,https://api.spotify.com/v1/tracks/0mbImplrU76kIvd52GlNbt,https://api.spotify.com/v1/audio-analysis/0mbImplrU76kIvd52GlNbt,195893,4
Smalltown Boy,https://open.spotify.com/track/5vmRQ3zELMLUQPo2FLQ76x,https://api.spotify.com/v1/tracks/5vmRQ3zELMLUQPo2FLQ76x,5vmRQ3zELMLUQPo2FLQ76x,2022-09-01,0.685,0.584,5,-10.616,0,0.0276,0.288,0.00918,0.124,0.939,134.546,audio_features,5vmRQ3zELMLUQPo2FLQ76x,spotify:track:5vmRQ3zELMLUQPo2FLQ76x,https://api.spotify.com/v1/tracks/5vmRQ3zELMLUQPo2FLQ76x,https://api.spotify.com/v1/audio-analysis/5vmRQ3zELMLUQPo2FLQ76x,302413,4
Adá,https://open.spotify.com/track/0qA7gc6FxubzV4xBQfnR0Y,https://api.spotify.com/v1/tracks/0qA7gc6FxubzV4xBQfnR0Y,0qA7gc6FxubzV4xBQfnR0Y,2022-09-01,0.454,0.707,7,-8.625,0,0.0378,0.214,0.014,0.552,0.392,75.009,audio_features,0qA7gc6FxubzV4xBQfnR0Y,spotify:track:0qA7gc6FxubzV4xBQfnR0Y,https://api.spotify.com/v1/tracks/0qA7gc6FxubzV4xBQfnR0Y,https://api.spotify.com/v1/audio-analysis/0qA7gc6FxubzV4xBQfnR0Y,281566,4
Guyamas Sonora,https://open.spotify.com/track/4jhmemDl6T1MpP6NTjo7uv,https://api.spotify.com/v1/tracks/4jhmemDl6T1MpP6NTjo7uv,4jhmemDl6T1MpP6NTjo7uv,2022-09-01,0.278,0.642,8,-7.62,0,0.0535,0.71,0.0959,0.109,0.235,117.157,audio_features,4jhmemDl6T1MpP6NTjo7uv,spotify:track:4jhmemDl6T1MpP6NTjo7uv,https://api.spotify.com/v1/tracks/4jhmemDl6T1MpP6NTjo7uv,https://api.spotify.com/v1/audio-analysis/4jhmemDl6T1MpP6NTjo7uv,211467,4
